콘텐츠명,노키즈존,예약가능여부,룸보유여부,유아서비스기타,평일오픈시간,평일클로즈시간,주말오픈시간,주말클로즈시간,휴식시작시간,휴식종료시간,대표메뉴기타
엘리펀시아,,,,,11:00,18:00,11:00,19:00,,,
오름위에버거,,,,,10:30,19:30,10:30,19:30,,,
고집돌우럭(중문),,,,,10:00,21:30,10:00,21:30,,,
뚱딴지 애월본점,,,,,11:00,22:00,11:00,22:00,,,숙성 흑돼지 근고기
샤라의정원,,,,,11:00,18:00,11:00,18:00,,,
소금빵까페 키친오즈,,,,,10:00,19:30,10:00,19:30,,,
춤추는오병장의돼지꿈,,,,,15:00,23:00,15:00,23:00,,,
원담,,,,,16:00,00:00,16:00,00:00,,,고등어회
오데뜨,,,,,11:30,20:30,11:30,20:30,,,
교래아름가든,,,,,10:00,19:30,10:00,19:30,,,
꼬꼬닭한마리,,,,,11:00,21:00,11:00,21:00,,,
ㅇㅇㅇ,,,,,06:00,00:00,04:30,00:00,,,
탑동패밀리레스토랑,,,,,11:30,21:00,11:30,21:00,,,
지오아라,,,,,,,,,,,
피쉬웍스,,,,,11:00,22:00,11:00,22:00,,,
수다브런치카페,,,,,10:30,23:00,10:30,23:00,,,
돌미롱,,,,,16:00,19:00,11:00,19:00,,,
공주네국수,y,,,,09:00,20:00,09:00,20:00,,,
제주바솔트,y,y,,,10:00,19:00,10:00,19:00,,,
해무,,,,,11:00,19:00,11:00,19:00,,,빙수
감미롭다 제주,y,y,,,10:00,16:00,10:00,16:00,,,
러프라이프커피,,,,,08:00,21:00,08:00,21:00,,,
기억나는집,,,,,09:00,21:30,09:00,21:30,,,
호텔샌드,,,,,09:00,21:00,09:00,21:00,,,
커피림,,,,,10:00,22:00,10:00,22:00,,,
가파도 용궁정식,,,,,10:00,20:00,10:00,20:00,,,
신스버거,,,,,10:00,20:00,10:00,20:00,,,
달아래팥,,,,,11:00,20:00,11:00,20:00,,,
뚱삼춘연탄구이,,,,,12:00,22:30,12:00,22:30,,,
바사그미,,,,,09:00,22:00,09:00,22:00,,,"살치살스테이크(320g) 46,000원  치킨 로메스코 28,000 원"
수눌음1,,,,,,,,,,,
평대스낵,,,,,11:30,16:00,11:30,16:00,,,
신우성타운,,,,,08:00,22:30,08:00,22:30,,,
미나식탁,,,,,11:30,21:00,11:30,21:00,,,
제주감자탕 탕자감,y,y,n,,11:00,23:55,11:00,23:55,,,
유끼네,,,,,11:30,16:30,11:30,16:30,,,
하찌,,y,,,17:00,21:00,17:00,21:00,,,초밥
진미명가,,,,,17:40,21:00,17:40,21:00,,,
김지순의 낭푼밥상,,,,,10:30,18:00,10:30,18:00,,,
조셉마켓,y,y,,,11:00,19:00,11:00,19:00,,,바스크 치즈케이크 
영춘식당,y,y,,,11:00,20:00,11:00,15:00,,,
카페콧수염,,,,,10:00,21:00,10:00,21:00,,,
어머니와고등어,,,,,09:00,21:00,09:00,21:00,,,
바다속고등어쌈밥,,,,,08:00,21:00,08:00,21:00,,,
산호풍경,,,,,,,,,,,
엉클통김밥,,,,,,,,,,,
헬로우우도,,,,,08:00,20:00,08:00,20:00,,,
카페 깡,,y,,,10:00,19:30,10:00,19:30,,,
춘심이네,,,,,10:30,20:00,10:30,20:00,,,
흑돼지해물삼합,,,,,12:00,22:00,12:00,22:00,,,흑돼지 해물삼합
재복헌훠궈,y,n,,,17:30,23:00,17:30,23:00,,,홍탕과 백탕에 신선한 식재료를 함께 즐기는 사천식 훠궈
블루밍제이,,,,,11:00,19:00,11:00,19:00,,,
명물,,,,,09:00,21:00,09:00,21:00,,,
오조해녀의 집,,,,,07:00,19:00,07:00,19:00,,,
순풍해장국,,,,,06:00,16:00,06:00,16:00,,,
코너스윗,,,,,11:30,22:00,11:30,22:00,,,
추자도중앙식당,,,,,,,,,,,
513텐동,y,y,,,11:20,20:30,11:20,20:30,,,
커먼브릭,,,,,11:00,20:30,11:00,20:30,,,
봉평메밀가,,,,,10:00,21:00,10:00,21:00,,,
중문랜드프리미엄뷔페,,,,,11:30,21:00,11:30,21:00,,,
영주말가든,,,,,10:00,22:00,10:00,22:00,,,
오로라식당,,,,,07:30,20:30,07:30,20:30,,,
파라다이스비치,,,,,11:00,20:00,11:00,20:00,,,
둥지식당,,,,,10:30,17:00,10:30,17:00,,,
지붕위제주바다,,,,,11:00,18:30,11:00,18:30,,,
생돈우리,,,,,11:30,22:00,11:30,22:00,,,
새로나분식,,,,,11:30,20:00,11:30,20:00,,,
추가네,,,,,09:30,21:00,09:30,21:00,,,
아지 함덕점,,,,,,,,,,,
마린보이횟집,,,,,10:00,21:30,10:00,21:30,,,
흑염소마루,,,,,11:00,21:00,11:00,21:00,,,
낭뜰에쉼팡,,,,,09:00,20:00,09:00,20:00,,,"낭뜰정식, 쌈채, 야채비빔밥, 녹차들깨수제비"
장승포식당,,,,,09:30,20:30,09:30,20:30,,,
한림칼국수,,,,,08:00,19:30,08:00,19:30,,,
제대가는길,,,,,10:00,19:00,10:00,19:00,,,
밤수중 협재점,n,,,,20:00,02:00,20:00,02:00,,,
섯동네해녀의집,,,,,,,,,,,
바이닐 제주,y,,,,10:00,22:00,10:00,22:00,,,
와토커피,,,,,08:00,18:00,08:00,18:00,,,
중문별장,,y,,,10:00,22:00,10:00,22:00,,,
커피잇수다,,,,,10:00,19:00,10:00,19:00,,,
나루면빨,,,,,10:00,18:00,10:00,18:00,,,
이스트엔드,,,,,12:00,21:30,,,,,
황궁쟁반탐라원,,,,,11:00,19:00,11:00,19:00,,,
금뽕똘향토음식점,,,,,11:00,16:00,11:00,16:00,,,
제라한보쌈,,,,,15:00,23:00,15:00,23:00,,,
대광장식당,,,,,06:30,21:00,06:30,21:00,,,
미원,,,,,05:00,16:00,05:00,16:00,,,
강해일횟집,,y,,,10:00,23:00,10:00,23:00,,,
한라앤탐,,,,,08:30,16:00,,,,,
괸당네식당,,,,,08:30,16:30,08:30,16:30,,,
비원,,,,,10:30,21:00,10:30,21:00,,,
대담 애월본점,y,y,,,13:00,01:00,13:00,01:00,,,
도두해녀의집,,,,,10:00,20:00,10:00,20:00,,,
솔지식당 시청점,,,,,17:00,21:50,17:00,21:50,,,"가브리살, 멜조림"
동도원,,,,,09:00,21:00,09:00,21:00,,,
비밀역,y,y,,,10:30,18:00,10:30,18:00,,,
경주네횟집,,,,,10:00,22:00,10:00,22:00,,,
해월향,,,,,11:00,21:30,11:00,21:30,,,
만민식당,,,,,10:00,21:30,10:00,21:30,,,
바다를본돼지(판포점),,,,,12:00,22:00,12:00,22:00,,,
옹포별장가든,,,,,11:00,21:00,11:00,21:00,,,
금보,,,,,07:30,22:30,07:30,22:30,,,
제일식당,,,,,,,,,,,
거부한정식(신제주점),,,,,09:00,21:00,09:00,21:00,,,
젠하이드어웨이,,,,,11:00,21:00,11:00,21:00,,,
뜰향기,,,,,09:00,19:00,09:00,19:00,,,
시흥해녀의집,,,,,07:00,20:00,07:00,20:00,,,
원항아리칼국수보쌈,,,,,09:00,20:30,09:00,20:30,,,
거닐다,,,,,11:00,20:00,11:00,20:00,,,
한라마테우리,y,n,,,11:00,19:00,11:00,19:00,,,
다미진,,,,,11:30,22:00,11:30,22:00,,,
리부아르,,,,,10:00,20:00,10:00,20:00,,,"감귤 크림브륄레, 까눌레, 솔트빌리커피, 한라봉 선셋, 크로플"
연미정,,,,,09:00,21:00,09:00,21:00,,,
뵈뵈,,,,,11:00,20:00,11:00,20:00,,,
양가형제,,,,,11:00,19:30,11:00,19:30,,,"경버거, 양버거, 어니언링, 감자튀김, 밀크쉐이크"
모락,,,,,11:00,,11:00,,,,
덤장,,y,,,08:00,21:00,08:00,21:00,,,
플로웨이브,,,,,16:00,22:00,16:00,22:00,,,"등뼈오름 18,000원"
또또시,,,,,,,,,,,
대원가,,,,,09:00,21:00,09:00,21:00,,,
한치앞도모를바다,,,,,11:30,19:00,11:30,19:00,,,
중문자연산횟집,,,,,12:00,01:00,12:00,01:00,,,
이끼숲소길,y,,,,09:00,17:30,09:00,17:30,,,
브릭스 제주,n,,,,12:00,18:00,12:00,18:00,,,
카페루시아,y,n,,,09:30,20:00,09:30,20:00,,,"아메리카노, 댕유자차"
돈돼지흑돼지,,,,,09:00,23:00,09:00,23:00,,,
마돈,,,,,10:00,22:00,10:00,22:00,,,
어장군,,,,,09:00,21:00,09:00,21:00,,,차롱밥상 15.000원
별방21,,,,,11:30,20:00,11:30,20:00,,,
순이네해장국,,,,,09:00,20:30,,,,,
상춘재,,,,,10:00,16:00,10:00,16:00,,,
봉끄랑,,,,,10:00,16:30,10:00,16:30,,,
타코마씸,,,,,11:00,22:00,11:00,22:00,,,
조남매구움과자(폐업),y,y,,,10:00,17:00,10:00,17:00,,,"다쿠아즈, 아메리카노, 수제청에이드"
로뎀가든,,,,,10:30,16:00,10:30,16:00,,,
